taxi_zone,zone_name,attraction_place_id,index,attraction_name,category,price,isFree,description,attraction_latitude,attraction_longitude,attraction_vicinity,attraction_rating,user_ratings_total,attraction_phone_number,attraction_website,opening_hours,price_level,types,international_phone_number,url,icon,formatted_hours,popular_times,time_spent,current_popularity
90,Flatiron,ChIJ3QUP6bxZwokRm9qJ_HdETzw,47,The Twins (Os Gêmeos) Double Mural,Arts,0,TRUE,"A large-scale mural in Chelsea by Brazilian street artists Os Gêmeos, featuring their distinctive, colorful characters. The Twins Double Mural is a striking example of contemporary street art, attracting art lovers and passersby with its whimsical and vibrant imagery, enhancing the urban landscape with creativity.",40.7384304,-73.9985669,"143 West 14th Street, New York",5,1,,,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,['point_of_interest'],,https://maps.google.com/?cid=4345767447564507803,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,"0: 00:00 - 23:59, 1: 00:00 - 23:59, 2: 00:00 - 23:59, 3: 00:00 - 23:59, 4: 00:00 - 23:59, 5: 00:00 - 23:59, 6: 00:00 - 23:59","[{'name': 'Monday', 'data': [8, 0, 8, 0, 16, 25, 33, 41, 16, 8, 0, 16, 25, 25, 41, 16, 8, 0, 0, 0, 0, 16, 16, 41]}, {'name': 'Tuesday', 'data': [25, 33, 25, 33, 16, 16, 8, 16, 33, 66, 33, 25, 33, 33, 25, 33, 16, 16, 16, 8, 8, 25, 8, 0]}, {'name': 'Wednesday', 'data': [0, 0, 8, 25, 16, 25, 58, 91, 75, 100, 83, 75, 58, 83, 66, 41, 8, 16, 25, 50, 83, 100, 50, 33]}, {'name': 'Thursday', 'data': [8, 0, 8, 25, 0, 8, 25, 16, 25, 66, 50, 66, 41, 50, 16, 33, 41, 66, 33, 16, 0, 0, 0, 8]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 8, 0, 8, 25, 25, 41, 16, 16, 0, 0, 0, 0, 8, 8, 16, 50, 33, 16, 0, 8]}, {'name': 'Saturday', 'data': [25, 58, 41, 25, 8, 8, 8, 0, 8, 8, 16, 33, 16, 8, 0, 0, 0, 16, 25, 33, 33, 8, 0, 8]}, {'name': 'Sunday', 'data': [0, 0, 8, 16, 0, 8, 25, 8, 25, 50, 66, 25, 8, 0, 8, 8, 16, 33, 16, 8, 8, 25, 50, 25]}]","[None, None]",
125,Hudson Sq,ChIJz1YttJJZwokRZtZyCKbuzMU,48,James J Walker Park,Natural,0,TRUE,"A community park in Greenwich Village offering sports facilities, playgrounds, and green spaces. James J Walker Park provides a welcoming environment for recreation and relaxation, serving as a neighborhood hub for sports, picnics, and social gatherings. It is a cherished green space in the historic West Village.",40.7298199,-74.0063953,"Hudson Street, New York",4.4,511,(212) 639-9675,https://www.nycgovparks.org/parks/james-j-walker-park/,"['Monday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200910:00\u202fPM']",,"['park', 'point_of_interest']",+1 212-639-9675,https://maps.google.com/?cid=14253029317594502758,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"0: 06:00 - 22:00, 1: 06:00 - 22:00, 2: 06:00 - 22:00, 3: 06:00 - 22:00, 4: 06:00 - 22:00, 5: 06:00 - 22:00, 6: 06:00 - 22:00","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 46, 55, 40, 39, 49, 68, 76, 71, 65, 68, 68, 56, 53, 47, 45, 53, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 38, 50, 58, 65, 66, 79, 86, 89, 96, 98, 100, 92, 78, 63, 49, 37, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 25, 36, 43, 53, 56, 61, 73, 74, 91, 80, 77, 59, 53, 44, 41, 33, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 33, 50, 55, 56, 57, 57, 65, 73, 88, 77, 75, 62, 55, 50, 45, 37, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 31, 51, 53, 65, 64, 57, 52, 66, 73, 90, 82, 53, 44, 27, 32, 27, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 12, 19, 32, 50, 53, 68, 68, 74, 68, 63, 58, 59, 56, 64, 49, 36, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 14, 28, 20, 25, 32, 38, 35, 43, 48, 60, 64, 65, 64, 51, 42, 39, 0, 0]}]","[90, 90]",35
125,Hudson Sq,ChIJvcb1oI1ZwokRmoZJZdbzqLI,49,Charlton Plaza,Natural,0,TRUE,"A small green space in Greenwich Village offering benches, trees, and a peaceful atmosphere. Charlton Plaza provides a quiet retreat for relaxation and contemplation, enhancing the urban experience with its serene environment. It's a perfect spot for a break from the bustling city streets.",40.7272837,-74.0034578,"6th Ave &, Charlton Street, New York",4,2,(212) 639-9675,http://www.nycgovparks.org/parks/charlton-plaza,,,"['park', 'point_of_interest']",+1 212-639-9675,https://maps.google.com/?cid=12873807636986431130,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"0: 09:00 - 00:00, 1: 09:00 - 00:00, 2: 09:00 - 00:00, 3: 09:00 - 00:00, 4: 09:00 - 00:00, 5: 09:00 - 00:00, 6: 09:00 - 00:00","[{'name': 'Monday', 'data': [9, 27, 63, 45, 9, 27, 9, 0, 9, 36, 27, 9, 0, 0, 9, 0, 9, 18, 9, 0, 0, 9, 18, 9]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 36, 27, 45, 18, 18, 0, 9, 18, 9, 9, 27, 45, 54, 54, 27, 9, 0, 0, 9, 27]}, {'name': 'Wednesday', 'data': [9, 0, 0, 9, 27, 45, 63, 54, 27, 0, 9, 18, 27, 45, 90, 54, 54, 36, 72, 54, 72, 27, 9, 0]}, {'name': 'Thursday', 'data': [0, 0, 9, 18, 0, 0, 9, 18, 18, 9, 27, 63, 45, 54, 18, 18, 18, 9, 9, 27, 27, 27, 36, 54]}, {'name': 'Friday', 'data': [36, 18, 0, 0, 0, 0, 0, 9, 36, 27, 9, 0, 9, 27, 63, 72, 45, 45, 27, 54, 90, 100, 45, 18]}, {'name': 'Saturday', 'data': [9, 0, 0, 0, 0, 0, 18, 27, 27, 9, 9, 27, 45, 72, 90, 54, 63, 45, 45, 27, 36, 54, 54, 45]}, {'name': 'Sunday', 'data': [45, 54, 18, 9, 18, 9, 36, 27, 9, 0, 9, 18, 9, 0, 9, 27, 9, 0, 0, 9, 0, 9, 0, 0]}]","[None, None]",
125,Hudson Sq,ChIJe4mpLZz2wokREg_Jv-ISy7c,50,Duarte Square,Natural,0,TRUE,"A public park in Lower Manhattan featuring sculptures, green spaces, and seating areas. Duarte Square honors Juan Pablo Duarte, a founding father of the Dominican Republic, and offers a space for relaxation and community events, reflecting the area's cultural diversity and history.",40.7226506,-74.0054003,"Ave. Of Americas, Canal St. and, Grand Street, New York",4.3,123,(212) 639-9675,http://www.nycgovparks.org/parks/duarte-square,"['Monday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u20091:00\u202fAM']",,"['park', 'point_of_interest']",+1 212-639-9675,https://maps.google.com/?cid=13243699894302609170,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"0: 06:00 - 01:00, 1: 06:00 - 01:00, 2: 06:00 - 01:00, 3: 06:00 - 01:00, 4: 06:00 - 01:00, 5: 06:00 - 01:00, 6: 06:00 - 01:00","[{'name': 'Monday', 'data': [3, 0, 0, 0, 0, 0, 22, 18, 22, 11, 14, 25, 33, 37, 18, 7, 3, 14, 11, 3, 0, 7, 22, 33]}, {'name': 'Tuesday', 'data': [37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 3, 0, 0, 0, 18, 44, 100, 81, 81, 55, 59, 62, 29]}, {'name': 'Wednesday', 'data': [22, 0, 0, 0, 0, 0, 29, 51, 44, 29, 25, 18, 18, 33, 22, 14, 11, 11, 18, 33, 25, 44, 48, 55]}, {'name': 'Thursday', 'data': [40, 0, 0, 0, 0, 0, 44, 22, 33, 70, 92, 48, 40, 48, 77, 74, 40, 14, 0, 3, 7, 37, 51, 77]}, {'name': 'Friday', 'data': [40, 0, 0, 0, 0, 0, 55, 22, 11, 0, 7, 22, 51, 44, 18, 3, 11, 29, 66, 59, 29, 22, 29, 62]}, {'name': 'Saturday', 'data': [29, 0, 0, 0, 0, 0, 25, 55, 66, 44, 44, 18, 7, 0, 0, 3, 11, 22, 11, 3, 0, 7, 18, 25]}, {'name': 'Sunday', 'data': [11, 0, 0, 0, 0, 0, 14, 7, 3, 7, 29, 55, 66, 48, 66, 59, 77, 74, 59, 70, 51, 22, 7, 7]}]","[None, None]",73
100,Garment District,ChIJ8VOfr1RYwokRhil9_pcMKuc,51,Madame Tussauds New York,Entertainment,40,FALSE,"A world-famous wax museum in Times Square, featuring lifelike wax figures of celebrities, historical figures, and fictional characters. Madame Tussauds New York offers an interactive and entertaining experience, allowing visitors to get up close with their favorite icons and enjoy themed exhibits.",40.7564269,-73.9888338,"234 West 42nd Street, New York",4.5,26304,(212) 512-9600,https://www.madametussauds.com/new-york/tickets/?utm_source=local-listing&utm_medium=organic&utm_campaign=tickets,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']",3,"['museum', 'point_of_interest']",+1 212-512-9600,https://maps.google.com/?cid=16657140018732411270,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,"0: 10:00 - 20:00, 1: 10:00 - 20:00, 2: 10:00 - 20:00, 3: 10:00 - 20:00, 4: 10:00 - 22:00, 5: 10:00 - 22:00, 6: 10:00 - 20:00","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 28, 33, 35, 36, 39, 43, 47, 45, 38, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 29, 35, 38, 40, 43, 46, 48, 47, 39, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 30, 36, 39, 42, 47, 51, 54, 51, 42, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 29, 36, 40, 43, 47, 54, 58, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 35, 42, 46, 51, 56, 63, 67, 69, 64, 53, 39, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 45, 59, 70, 79, 89, 96, 100, 97, 87, 70, 51, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 43, 54, 61, 67, 72, 77, 77, 71, 58, 0, 0, 0, 0]}]","[120, 120]",51
103,Governor's Island/Ellis Island/Liberty Island,ChIJPTacEpBQwokRKwIlDXelxkA,54,Statue of Liberty,Landmark,31,FALSE,"An iconic symbol of freedom and democracy, the Statue of Liberty stands on Liberty Island in New York Harbor. Visitors can explore the statue, enjoy panoramic views, and learn about its history through exhibits and guided tours, making it a must-see landmark and a symbol of American values.",40.6892494,-74.0445004,New York,4.7,101828,(212) 363-3200,https://www.nps.gov/stli/index.htm,"['Monday: 9:00\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20096:30\u202fPM']",,['point_of_interest'],+1 212-363-3200,https://maps.google.com/?cid=4667599994556318251,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,"0: 09:00 - 18:30, 1: 09:00 - 18:30, 2: 09:00 - 18:30, 3: 09:00 - 18:30, 4: 09:00 - 18:30, 5: 09:00 - 18:30, 6: 09:00 - 18:30","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 63, 83, 92, 91, 80, 59, 34, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 58, 75, 82, 79, 69, 51, 30, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 55, 70, 73, 65, 53, 37, 21, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 55, 72, 77, 73, 61, 43, 24, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 63, 83, 91, 88, 76, 57, 33, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 66, 88, 100, 99, 91, 72, 45, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 58, 78, 89, 89, 82, 64, 39, 0, 0, 0, 0, 0, 0, 0]}]","[120, 120]",75
103,Governor's Island/Ellis Island/Liberty Island,ChIJK67dxY5QwokR7drq9WFETbk,55,Flagpole Plaza,Landmark,0,TRUE,"Located on Liberty Island, Flagpole Plaza offers scenic views of the Statue of Liberty and New York Harbor. It's a popular spot for visitors to gather, take photos, and appreciate the iconic monument. The plaza provides a picturesque setting and enhances the overall experience of visiting Liberty Island.",40.69059,-74.045687,Jersey City,4.6,88,,,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,['point_of_interest'],,https://maps.google.com/?cid=13352403657751714541,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,"0: 00:00 - 23:59, 1: 00:00 - 23:59, 2: 00:00 - 23:59, 3: 00:00 - 23:59, 4: 00:00 - 23:59, 5: 00:00 - 23:59, 6: 00:00 - 23:59","[{'name': 'Monday', 'data': [25, 8, 8, 8, 25, 16, 16, 8, 0, 0, 0, 16, 33, 50, 25, 33, 25, 33, 16, 8, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 8, 25, 50, 8, 16, 41, 16, 8, 8, 16, 8, 0, 8, 25, 50, 33, 25, 33, 66, 41, 50, 66, 58]}, {'name': 'Wednesday', 'data': [41, 8, 0, 0, 16, 8, 8, 33, 41, 75, 33, 16, 0, 0, 8, 0, 8, 25, 25, 8, 0, 0, 0, 8]}, {'name': 'Thursday', 'data': [33, 66, 83, 41, 16, 0, 8, 16, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 0, 8, 16, 41]}, {'name': 'Friday', 'data': [25, 25, 33, 25, 0, 0, 0, 8, 25, 16, 8, 8, 25, 16, 25, 25, 50, 58, 91, 66, 41, 25, 16, 16]}, {'name': 'Saturday', 'data': [33, 25, 25, 8, 8, 0, 16, 50, 100, 58, 33, 16, 41, 25, 8, 16, 41, 58, 25, 8, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [16, 33, 41, 16, 0, 0, 0, 0, 0, 8, 0, 8, 16, 8, 16, 25, 8, 0, 0, 0, 8, 16, 16, 33]}]","[None, None]",
103,Governor's Island/Ellis Island/Liberty Island,ChIJNX_GfHtRwokR_XSS9Qefsss,59,Ellis Island,Landmark,31,FALSE,"A historic immigration station in New York Harbor, Ellis Island is now a museum dedicated to the history of American immigration. Visitors can explore exhibits, learn about the immigrant experience, and tour historic buildings, making it a significant cultural and historical site that tells the story of millions of immigrants.",40.6994352,-74.0415182,"Ellis Island, New York",4.6,14453,(212) 363-3200,https://www.visithudson.org/things-to-do/attractions/ellis-island/,"['Monday: 10:30\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 10:30\u202fAM\u2009–\u20094:00\u202fPM']",,"['park', 'point_of_interest']",+1 212-363-3200,https://maps.google.com/?cid=14677968992087471357,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,"0: 10:30 - 16:00, 1: 10:30 - 16:00, 2: 10:30 - 16:00, 3: 10:30 - 16:00, 4: 10:30 - 16:00, 5: 10:30 - 16:00, 6: 10:30 - 16:00","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 65, 83, 93, 88, 75, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 60, 74, 81, 75, 62, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 58, 73, 77, 66, 51, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 61, 77, 82, 74, 58, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 65, 82, 89, 81, 67, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 78, 94, 100, 88, 71, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 68, 85, 93, 85, 68, 0, 0, 0, 0, 0, 0, 0, 0]}]","[90, 90]",60
103,Governor's Island/Ellis Island/Liberty Island,ChIJ7wOtAntawokRD9hIRQh1944,60,Hammock Grove,natural,0,TRUE,"The Hammock Groves on Governors Island in New York offer a tranquil retreat with hammocks strung between trees. Visitors can relax and enjoy scenic views of the New York Harbor and skyline, making it a popular spot for unwinding amidst nature",40.6887049,-74.0204742,Brooklyn,4.5,335,,https://npplan.com/parks-by-state/new-york-national-parks/governors-island-national-monument-park-at-a-glance/governors-island-national-monument-recreational-activities/,"['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u200912:00\u202fAM']",,"['park', 'point_of_interest']",,https://maps.google.com/?cid=10301831351015888911,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,"0: 08:00 - 00:00, 1: 08:00 - 00:00, 2: 08:00 - 00:00, 3: 08:00 - 00:00, 4: 08:00 - 00:00, 5: 08:00 - 00:00, 6: 08:00 - 00:00","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 20, 16, 25, 33, 37, 54, 95, 79, 50, 37, 16, 8, 0, 0, 8, 16]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 16, 33, 25, 45, 37, 58, 62, 66, 75, 66, 75, 41, 41, 66, 50, 50]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 54, 41, 54, 25, 12, 0, 8, 8, 4, 0, 0, 0, 4, 4, 8, 16]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 33, 54, 25, 12, 0, 0, 0, 12, 33, 66, 62, 66, 87, 66, 37, 41]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 29, 58, 79, 91, 100, 66, 70, 45, 25, 20, 33, 70, 33, 16, 0, 4]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 8, 25, 25, 25, 33, 33, 29, 29, 20, 12, 16]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 41, 70, 100, 95, 83, 62, 62, 87, 79, 45, 29, 33, 16, 12, 12, 25]}]","[None, None]",100
103,Governor's Island/Ellis Island/Liberty Island,ChIJ2_ey6W9awokRxng4fzLDbPo,61,Governors Island National Monument,landmark,0,TRUE,"Governors Island National Monument features historic military fortifications, scenic views of the Statue of Liberty, public art installations, picnic areas, bike rentals, and cultural events, providing a unique urban park experience.",40.6902132,-74.0172006,"10 South Street, New York",4.6,2779,(646) 771-9728,https://www.nps.gov/gois/contacts.htm,"['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20097:00\u202fPM']",,['point_of_interest'],+1 646-771-9728,https://maps.google.com/?cid=18045012428616923334,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,"0: 10:00 - 18:00, 1: 10:00 - 18:00, 2: 10:00 - 18:00, 3: 10:00 - 18:00, 4: 10:00 - 18:00, 5: 10:00 - 19:00, 6: 10:00 - 19:00","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 34, 37, 40, 42, 36, 29, 16, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 34, 36, 38, 34, 32, 25, 16, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 29, 30, 29, 27, 25, 19, 14, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 30, 36, 36, 33, 29, 24, 20, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 31, 36, 35, 33, 31, 21, 15, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 82, 92, 98, 100, 92, 70, 48, 25, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 34, 40, 49, 55, 53, 44, 29, 15, 0, 0, 0, 0, 0]}]","[None, None]",46
103,Governor's Island/Ellis Island/Liberty Island,ChIJfa9tmm9awokRLTlL6sTX5B0,62,Fort Jay,cultural,0,TRUE,"Fort Jay, located on Governors Island is a historic star-shaped fort featuring 18th-century military architecture, scenic views, walking paths, and educational exhibits, offering a glimpse into America’s early defense history.",40.6913721,-74.0159806,"Andes Road, Brooklyn",4.5,328,(212) 825-3054,http://www.nps.gov/gois/learn/historyculture/fortjay.htm,"['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20095:30\u202fPM']",,"['museum', 'point_of_interest']",+1 212-825-3054,https://maps.google.com/?cid=2154083762534299949,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,"0: 10:00 - 17:00, 1: 10:00 - 17:00, 2: 10:00 - 17:00, 3: 10:00 - 17:00, 4: 10:00 - 17:00, 5: 10:00 - 17:30, 6: 10:00 - 17:30",[],"[None, None]",
